iso3,country,year,month,year_month,date,monthly_total_mm_pop
TTO,Trinidad and Tobago,2023,11,2023-11,2023-11-01,197.31322832116948
TTO,Trinidad and Tobago,2023,12,2023-12,2023-12-01,79.5508437612637
TTO,Trinidad and Tobago,2024,1,2024-01,2024-01-01,59.91841189483241
TTO,Trinidad and Tobago,2024,2,2024-02,2024-02-01,27.42433633487903
TTO,Trinidad and Tobago,2024,3,2024-03,2024-03-01,42.70113203081465
TTO,Trinidad and Tobago,2024,4,2024-04,2024-04-01,45.99327933011837
TTO,Trinidad and Tobago,2024,5,2024-05,2024-05-01,94.79477162233819
TTO,Trinidad and Tobago,2024,6,2024-06,2024-06-01,225.66572542533504
TTO,Trinidad and Tobago,2024,7,2024-07,2024-07-01,187.3513531926807
TTO,Trinidad and Tobago,2024,8,2024-08,2024-08-01,229.26240513144208
TTO,Trinidad and Tobago,2024,9,2024-09,2024-09-01,232.09153224926604
TTO,Trinidad and Tobago,2024,10,2024-10,2024-10-01,166.44801592904736
TTO,Trinidad and Tobago,2024,11,2024-11,2024-11-01,247.0504229564255
TTO,Trinidad and Tobago,2024,12,2024-12,2024-12-01,131.67166220565304
