hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_max_wind_kt,monthly_max_wind_mps,n_storms,storm_names,storm_ids,has_payout,payout_amount_usd
tc,TTO,Trinidad and Tobago,2019,12,2019-12-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,1,2020-01-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,2,2020-02-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,3,2020-03-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,4,2020-04-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,5,2020-05-01,2019/20,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,6,2020-06-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,7,2020-07-01,2020/21,31.0,31.0,15.947764,1,GONZALO,2020203N09323,0,0.0
tc,TTO,Trinidad and Tobago,2020,8,2020-08-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,9,2020-09-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,10,2020-10-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,11,2020-11-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2020,12,2020-12-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,1,2021-01-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,2,2021-02-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,3,2021-03-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,4,2021-04-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,5,2021-05-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,6,2021-06-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,7,2021-07-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,8,2021-08-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,9,2021-09-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,10,2021-10-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,11,2021-11-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2021,12,2021-12-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,1,2022-01-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,2,2022-02-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,3,2022-03-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,4,2022-04-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,5,2022-05-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,6,2022-06-01,2022/23,35.0,35.0,18.00554,1,BONNIE,2022179N08310,0,0.0
tc,TTO,Trinidad and Tobago,2022,7,2022-07-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,8,2022-08-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,9,2022-09-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,10,2022-10-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,11,2022-11-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2022,12,2022-12-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,1,2023-01-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,2,2023-02-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,3,2023-03-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,4,2023-04-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,5,2023-05-01,2022/23,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,6,2023-06-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,7,2023-07-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,8,2023-08-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,9,2023-09-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,10,2023-10-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,11,2023-11-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2023,12,2023-12-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,1,2024-01-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,2,2024-02-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,3,2024-03-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,4,2024-04-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,5,2024-05-01,2023/24,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,6,2024-06-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,7,2024-07-01,2024/25,0.0,0.0,0.0,0,,,1,372752.0
tc,TTO,Trinidad and Tobago,2024,8,2024-08-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,9,2024-09-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,10,2024-10-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,11,2024-11-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
tc,TTO,Trinidad and Tobago,2024,12,2024-12-01,2024/25,0.0,0.0,0.0,0,,,0,0.0
